"","eco_id","Ncells","plants","mamph","mbirds","mmamm","NPP_mean","NPP_cv_inter","Feat_mean","Feat_cv_inter","area_km2","biome","flor_realms","x","y","biome_FR","plants_log","mamph_log","mbirds_log","mmamm_log","NPP_log_sc","Feat_log_sc","area_km2_log_sc","NPP_cv_sc","Feat_cv_sc"
"307",60103,154,5000,67.9090909090909,417.350649350649,139.103896103896,918.951639834448,0.0499085159538882,0.00351726749963554,1.22525831664512,109305,"Trop/Subtrop Moist","Neotropics",-39.8941435809989,-16.7234608889622,"NT:Trop/Subtrop Moist",8.51719319141624,4.21816991233445,6.03392675418543,4.93522110791095,0.902459890794075,-0.0838915167436612,0.187849964328705,-0.820572887513859,-0.802977066106426
"308",60104,318,6000,58.8930817610063,413.908805031447,142.949685534591,892.810951124631,0.0568824220994419,0.00569376821790873,1.20763975313884,229241,"Trop/Subtrop Moist","Neotropics",-42.0053682428171,-18.40977490255,"NT:Trop/Subtrop Moist",8.69951474821019,4.07572362639057,6.0256456718588,4.96249271893793,0.865176258416166,0.131863499010035,0.702444629534964,-0.658311530283916,-0.822154669514916
"309",60105,123,6000,23.8048780487805,490.349593495935,136.788617886179,897.059210128441,0.0609623409637581,0.00635296709474577,1.474449059103,90229,"Trop/Subtrop Moist","Neotropics",-67.0862550191359,-15.7124376765148,"NT:Trop/Subtrop Moist",8.69951474821019,3.16989051970878,6.19511859283,4.91843679914051,0.871309112255753,0.18093239725742,0.0545924277132416,-0.563384360560809,-0.53173581365016
"310",60106,2,1500,27,267,114,951.345246064036,0.066805540726679,0.00621004211906068,0.730819137997931,4776,"Trop/Subtrop Moist","Neotropics",-40.9455635351097,-3.91715593977198,"NT:Trop/Subtrop Moist",7.3132203870903,3.29583686600433,5.58724865840025,4.7361984483945,0.947217256903371,0.170740421755863,-1.98726422623336,-0.427431064902863,-1.3411684160615
"311",60107,242,9000,59.6280991735537,447.070247933884,165.545454545455,848.094278413558,0.0577222921002589,0.00832310820408095,2.24141012453664,183358,"Trop/Subtrop Moist","Neotropics",-72.0052287970347,0.728066581728406,"NT:Trop/Subtrop Moist",9.10497985631836,4.08812692561123,6.10271573648065,5.10924580692924,0.798792439993333,0.30192030567535,0.547271503382917,-0.638770337244465,0.303092470585081
"312",60108,31,1900,17.8387096774194,390.612903225806,162.58064516129,1073.22968664639,0.063351517648994,0.0079621193609033,1.45748447345001,22753,"Trop/Subtrop Moist","Neotropics",-72.6202291409415,8.76122838478307,"NT:Trop/Subtrop Moist",7.54960916515453,2.88137079703719,5.96771705226922,5.09117415658027,1.10296159101372,0.282059526644535,-0.902608465361927,-0.507795563763524,-0.550201569699249
"313",60109,35,4500,17.1142857142857,339.542857142857,150.971428571429,610.408218296309,0.0949209053957476,0.00195596923616387,1.29068215419674,31915,"Trop/Subtrop Moist","Neotropics",-75.978103845237,4.86097333249988,"NT:Trop/Subtrop Moist",8.41183267575841,2.83991353662604,5.82760017509308,5.0170906041528,0.373920060301917,-0.346727143762875,-0.667500943005253,0.226727040325791,-0.731763972622444
"314",60111,120,4100,24.0166666666667,341.5,117.35,1032.35123082964,0.0486205789879879,0.0201476380979349,1.77453154626142,89450,"Trop/Subtrop Moist","Neotropics",-85.5947556002103,14.3411129809292,"NT:Trop/Subtrop Moist",8.3187422526924,3.17874803377742,5.83334767901084,4.76516092229703,1.05279097198279,0.697899762210755,0.0485677221298414,-0.850539221409366,-0.20509948336674
"315",60112,24,3500,20.9583333333333,290.583333333333,119.875,998.825506298166,0.0453640944803127,0.015684863576161,1.23445819049242,13251,"Trop/Subtrop Moist","Neotropics",-91.8004465166667,14.9675976779871,"NT:Trop/Subtrop Moist",8.1605182474775,3.04253633975179,5.67189039688765,4.7864495332036,1.01013869289515,0.585746020366888,-1.2782367476303,-0.926307605007497,-0.792963109407366
"316",60113,6,3800,13,303.333333333333,133,1113.39596015529,0.0482335006828965,0.0575292959537779,1.74224611138585,5759,"Trop/Subtrop Moist","Neotropics",-92.7077300353161,17.113215976495,"NT:Trop/Subtrop Moist",8.24275634571448,2.56494935746154,5.71483231084279,4.89034912822175,1.1504303959529,1.16785497456908,-1.85722418193669,-0.859545343635208,-0.240241807296468
"317",60114,2,2500,19,375.5,134.5,1165.06485647904,0.0572008090099993,0.0788801470505726,1.76379031641374,2077,"Trop/Subtrop Moist","Neotropics",-94.1093174899938,16.6898721350053,"NT:Trop/Subtrop Moist",7.82404601085629,2.94443897916644,5.92825847120419,4.90156419904189,1.20903536260424,1.30923260684854,-2.56581369602977,-0.650903645641788,-0.216791188315599
"318",60115,95,9000,51.0315789473684,392.936842105263,148.8,583.733082123807,0.120492666273078,0.000757071907338145,2.39822418067122,73305,"Trop/Subtrop Moist","Neotropics",-77.3515593553002,5.8380369018543,"NT:Trop/Subtrop Moist",9.10497985631836,3.93244463614861,5.9736488918432,5.00260312239899,0.316190862844762,-0.771879986361459,-0.0897339143943969,0.821703304719688,0.473782764169643
"319",60117,11,3700,25.6363636363636,440,168.090909090909,990.046380047593,0.0529196922625887,0.0350339356307442,0.917707142210116,14282,"Trop/Subtrop Moist","Neotropics",-66.1983974878434,9.98256640320556,"NT:Trop/Subtrop Moist",8.21608809863232,3.24401179813974,6.08677472691231,5.12450495858875,0.998733053230779,0.945699591212527,-1.22617710110698,-0.750512071593657,-1.13774297645018
"320",60118,92,5500,16.5,447.282608695652,165.978260869565,801.430942757452,0.0612572770174747,0.0117304709866675,1.4667421586611,67577,"Trop/Subtrop Moist","Neotropics",-73.3729039584861,5.98503142659043,"NT:Trop/Subtrop Moist",8.61250337122056,2.80336038090653,6.10319062905618,5.11185682116364,0.72567768129478,0.455624002805541,-0.146264040288129,-0.556522105266105,-0.540124685996692
"321",60119,13,3300,32.1538461538462,311.692307692308,123.615384615385,794.35630210305,0.0774929912078529,0.00474439292213,1.5912330733512,10900,"Trop/Subtrop Moist","Neotropics",-84.5900147345816,10.1711825186002,"NT:Trop/Subtrop Moist",8.10167774745457,3.47053207506322,5.74201650790704,4.81717500827598,0.714222431028792,0.0501599406661815,-1.41393928618829,-0.178766946945279,-0.404617759507727
"322",60121,139,6500,16.9856115107914,372.201438848921,126.58273381295,733.441002136376,0.0804109244852807,0.00147901401621318,1.91420318387738,102062,"Trop/Subtrop Moist","Neotropics",-78.4946063027182,-2.76629352009015,"NT:Trop/Subtrop Moist",8.77955745588373,2.83236660395482,5.91943520999574,4.84089611662499,0.61114507200153,-0.471923827033921,0.140212970086285,-0.110875609720485,-0.0530685148568441
"323",60122,4,3300,52,433.5,158.75,705.589134642952,0.0898764868562352,0.00814737833792935,1.47141807417415,3031,"Trop/Subtrop Moist","Neotropics",-77.980996508554,7.6009886365168,"NT:Trop/Subtrop Moist",8.10167774745457,3.95124371858143,6.0718917962206,5.0673306377728,0.561128835550564,0.292362002213634,-2.30319957810621,0.109358928169732,-0.535035005827873
"324",60124,198,8000,45.5808080808081,512.343434343434,184.454545454545,1030.84924508459,0.049831135502048,0.00553531345991885,2.28276647711606,145963,"Trop/Subtrop Moist","Neotropics",-63.7571888311479,4.38091655556441,"NT:Trop/Subtrop Moist",8.98719682066197,3.81948675250655,6.23899517037575,5.21740306702744,1.050909937319,0.119221520234333,0.388795249577951,-0.822373292749691,0.348108383937319
"325",60125,625,8000,73.672,497.5824,185.0464,1044.84720439341,0.0489893012365427,0.00334939232016968,2.20805566573234,476136,"Trop/Subtrop Moist","Neotropics",-56.4455887088849,4.26452576419781,"NT:Trop/Subtrop Moist",8.98719682066197,4.29962280841907,6.20976117102452,5.22060660444136,1.06833521905125,-0.105796992510852,1.21029827075409,-0.84196018819001,0.266786526424219
