year,hemisphere,temp_anom
1986,Southern,0.06334090916666667
1987,Northern,0.15301515158333334
1987,Southern,0.23102272716666666
1988,Northern,0.23307575733333333
1988,Southern,0.16340151525
1989,Northern,0.16385606058333332
1989,Southern,0.07272727266666666
1990,Northern,0.41252272716666666
1990,Southern,0.18182575758333333
1991,Northern,0.3163106061666667
1991,Southern,0.1933636365
1992,Northern,0.07387121208333333
1992,Southern,0.13570454541666666
1993,Northern,0.13076515141666667
1993,Southern,0.16697727266666668
1994,Northern,0.27937121216666666
1994,Southern,0.13865909083333333
1995,Northern,0.46974242416666667
1995,Southern,0.17895454541666667
1996,Northern,0.17375757566666666
1996,Southern,0.18825757566666668
1997,Northern,0.4551666665833333
1997,Southern,0.3251136364166667
1998,Northern,0.6135681819166666
1998,Southern,0.46442424241666663
1999,Northern,0.4074469699166667
1999,Southern,0.20418939383333334
2000,Northern,0.40490151525
2000,Southern,0.18671212125
2001,Northern,0.55905303025
2001,Southern,0.3249393938333333
2002,Northern,0.5941060606666667
2002,Southern,0.40189393925
2003,Northern,0.6426818180833334
2003,Southern,0.3736742424166667
2004,Northern,0.60472727275
2004,Southern,0.2919469695833333
2005,Northern,0.7227196970833334
2005,Southern,0.3690833333333333
2006,Northern,0.6744242425
2006,Southern,0.33828030308333334
2007,Northern,0.71199242425
2007,Southern,0.27234090908333336
2008,Northern,0.56827272725
2008,Southern,0.22193939383333333
2009,Northern,0.594310606
2009,Southern,0.41600757566666663
2010,Northern,0.7384393940833334
2010,Southern,0.38234848466666665
2011,Northern,0.5731060605833334
2011,Southern,0.27805303033333334
2012,Northern,0.6270757576666667
2012,Southern,0.3139545455
2013,Northern,0.6740075758333334
2013,Southern,0.35474999991666667
2014,Northern,0.7775378788333334
2014,Southern,0.3820151515833333
2015,Northern,1.030280303
2015,Southern,0.4978863635833333
2016,Northern,1.06306818175
2016,Southern,0.5321363636666666
2017,Northern,0.9221212121666666
2017,Southern,0.43446969691666665
2018,Northern,0.7899242424166667
2018,Southern,0.40612878808333336
2019,Northern,0.9715606059999999
2019,Southern,0.5016590908333334
2020,Northern,1.1178863635833334
2020,Southern,0.42260606041666665
2021,Northern,0.9142045454166667
2021,Southern,0.38112878791666666
