tank,block,initial_density,svl,phenotype,mass_g,gr,survival
12,Block 2,28,32.706,Larva,1.609,0.099713415,0.8214285714285714
12,Block 2,28,30.177,Larva,1.205,0.092003049,0.8214285714285714
12,Block 2,28,32.951,Paedomorph,1.466,0.100460366,0.8214285714285714
12,Block 2,28,32.182,Larva,1.344,0.098115854,0.8214285714285714
12,Block 2,28,27.58,Larva,0.784,0.084085366,0.8214285714285714
12,Block 2,28,31.372,Larva,1.259,0.095646341,0.8214285714285714
12,Block 2,28,32.357,Larva,1.292,0.09864939,0.8214285714285714
13,Block 2,3,48.849,Metamorph,5.445,0.301537037,1
13,Block 2,3,52.712,Metamorph,7.77,0.218721992,1
13,Block 2,3,58.735,Paedomorph,11.083,0.179070122,1
14,Block 2,38,51.036,Metamorph,6.243,0.323012658,0.05263157894736842
14,Block 2,38,56.778,Metamorph,8.27,0.235593361,0.05263157894736842
15,Block 2,8,38.477,Metamorph,3.076,0.258234899,1
15,Block 2,8,44.838,Metamorph,4.278,0.180072289,1
15,Block 2,8,47.349,Paedomorph,4.608,0.144356707,1
15,Block 2,8,44.919,Paedomorph,4.094,0.136948171,1
15,Block 2,8,45.801,Larva,3.782,0.139637195,1
15,Block 2,8,45.034,Paedomorph,4.789,0.13729878,1
15,Block 2,8,47.688,Larva,4.492,0.145390244,1
15,Block 2,8,44.584,Paedomorph,4.32,0.135926829,1
16,Block 2,18,36.853,Metamorph,1.761,0.263235714,0.9444444444444444
16,Block 2,18,36.753,Metamorph,2.289,0.237116129,0.9444444444444444
16,Block 2,18,42.63,Metamorph,2.638,0.174,0.9444444444444444
16,Block 2,18,40.959,Paedomorph,2.568,0.124875,0.9444444444444444
16,Block 2,18,43.038,Paedomorph,3.688,0.131213415,0.9444444444444444
16,Block 2,18,42.415,Paedomorph,3.156,0.129314024,0.9444444444444444
16,Block 2,18,44.944,Larva,3.887,0.13702439,0.9444444444444444
16,Block 2,18,41.255,Larva,2.964,0.125777439,0.9444444444444444
16,Block 2,18,43.456,Larva,3.397,0.132487805,0.9444444444444444
16,Block 2,18,41.417,Paedomorph,2.979,0.126271341,0.9444444444444444
16,Block 2,18,44.379,Larva,3.001,0.135301829,0.9444444444444444
16,Block 2,18,43.606,Larva,3.21,0.132945122,0.9444444444444444
16,Block 2,18,41.405,Paedomorph,2.969,0.126234756,0.9444444444444444
16,Block 2,18,40.546,Paedomorph,2.729,0.123615854,0.9444444444444444
16,Block 2,18,42.093,Paedomorph,2.962,0.128332317,0.9444444444444444
16,Block 2,18,44.617,Paedomorph,3.262,0.136027439,0.9444444444444444
16,Block 2,18,37.078,Larva,2.28,0.113042683,0.9444444444444444
17,Block 3,3,49.494,Metamorph,5.224,0.325618421,1
17,Block 3,3,52.644,Metamorph,6.447,0.214873469,1
17,Block 3,3,58.981,Paedomorph,10.978,0.179820122,1
18,Block 3,33,37.543,Metamorph,2.17,0.320880342,0.09090909090909091
18,Block 3,33,38.559,Metamorph,2.464,0.310959677,0.09090909090909091
18,Block 3,33,58.191,Paedomorph,11.159,0.177411585,0.09090909090909091
20,Block 3,38,31.481,Metamorph,1.054,0.262341667,0.42105263157894735
20,Block 3,38,33.448,Metamorph,1.292,0.220052632,0.42105263157894735
20,Block 3,38,33.196,Metamorph,NA,0.20491358,0.42105263157894735
20,Block 3,38,41.425,Larva,2.605,0.126295732,0.42105263157894735
20,Block 3,38,43.728,Larva,3.062,0.133317073,0.42105263157894735
20,Block 3,38,36.093,Paedomorph,2.255,0.110039634,0.42105263157894735
20,Block 3,38,38.636,Paedomorph,2.434,0.117792683,0.42105263157894735
20,Block 3,38,40.542,Larva,2.542,0.123603659,0.42105263157894735
20,Block 3,38,37.425,Paedomorph,2.207,0.11410061,0.42105263157894735
20,Block 3,38,42.715,Larva,3.191,0.130228659,0.42105263157894735
20,Block 3,38,39.595,Larva,2.531,0.120716463,0.42105263157894735
20,Block 3,38,39.349,Larva,2.373,0.119966463,0.42105263157894735
20,Block 3,38,43.498,Paedomorph,3.432,0.132615854,0.42105263157894735
20,Block 3,38,41.119,Larva,2.656,0.125362805,0.42105263157894735
20,Block 3,38,38.641,Larva,2.416,0.117807927,0.42105263157894735
20,Block 3,38,37.993,Larva,2.366,0.115832317,0.42105263157894735
23,Block 3,18,35.086,Metamorph,1.985,0.282951613,0.5555555555555556
23,Block 3,18,37.396,Metamorph,1.958,0.294456693,0.5555555555555556
23,Block 3,18,37.302,Metamorph,2.273,0.286938462,0.5555555555555556
23,Block 3,18,39.492,Metamorph,2.08,0.270493151,0.5555555555555556
23,Block 3,18,49.787,Paedomorph,6.183,0.151789634,0.5555555555555556
23,Block 3,18,45.377,Paedomorph,4.147,0.138344512,0.5555555555555556
23,Block 3,18,43.309,Paedomorph,3.45,0.132039634,0.5555555555555556
23,Block 3,18,46.452,Paedomorph,5.135,0.141621951,0.5555555555555556
23,Block 3,18,44.537,Paedomorph,4.062,0.135783537,0.5555555555555556
23,Block 3,18,43.348,Paedomorph,3.743,0.132158537,0.5555555555555556
25,Block 4,23,33.106,Metamorph,1.293,0.247059701,0.8260869565217391
25,Block 4,23,37.539,Paedomorph,2.023,0.115504615,0.8260869565217391
25,Block 4,23,37.131,Larva,2.243,0.114249231,0.8260869565217391
25,Block 4,23,40.967,Larva,2.932,0.126052308,0.8260869565217391
25,Block 4,23,38.48,Larva,2.837,0.1184,0.8260869565217391
25,Block 4,23,38.483,Larva,2.575,0.118409231,0.8260869565217391
25,Block 4,23,42.106,Larva,2.791,0.129556923,0.8260869565217391
25,Block 4,23,36.003,Larva,2.222,0.110778462,0.8260869565217391
25,Block 4,23,37.926,Paedomorph,2.76,0.116695385,0.8260869565217391
25,Block 4,23,37.779,Larva,2.321,0.116243077,0.8260869565217391
25,Block 4,23,37.232,Larva,2.176,0.11456,0.8260869565217391
25,Block 4,23,36.558,Larva,2.211,0.112486154,0.8260869565217391
25,Block 4,23,38.629,Paedomorph,2.143,0.118858462,0.8260869565217391
25,Block 4,23,37.276,Larva,2.206,0.114695385,0.8260869565217391
25,Block 4,23,37.47,Larva,2.58,0.115292308,0.8260869565217391
25,Block 4,23,35.063,Larva,1.724,0.107886154,0.8260869565217391
25,Block 4,23,38.436,Larva,2.321,0.118264615,0.8260869565217391
25,Block 4,23,43.72,Larva,3.058,0.134523077,0.8260869565217391
25,Block 4,23,37.255,Larva,1.858,0.114630769,0.8260869565217391
26,Block 4,28,33.077,Metamorph,1.219,0.217611842,0.8571428571428571
26,Block 4,28,34.189,Metamorph,1.906,0.138979675,0.8571428571428571
26,Block 4,28,35.35,Metamorph,1.78,0.140277778,0.8571428571428571
26,Block 4,28,38.387,Larva,2.243,0.118113846,0.8571428571428571
26,Block 4,28,39.574,Paedomorph,2.678,0.121766154,0.8571428571428571
26,Block 4,28,42.186,Larva,3.094,0.129803077,0.8571428571428571
26,Block 4,28,31.179,Larva,1.448,0.095935385,0.8571428571428571
26,Block 4,28,42.194,Larva,2.28,0.129827692,0.8571428571428571
26,Block 4,28,38.366,Larva,1.949,0.118049231,0.8571428571428571
26,Block 4,28,41.261,Larva,2.7,0.126956923,0.8571428571428571
26,Block 4,28,37.896,Larva,2.266,0.116603077,0.8571428571428571
26,Block 4,28,32.693,Larva,1.513,0.100593846,0.8571428571428571
